name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Algiers,Algeria",2021-01-04T19:00:00,56.1,56.1,39.3,53.16,0,0,,,,,1.3,203,1011.6,50.4,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,60415099999,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-04T20:00:00,52.4,52.4,40,62.72,0,0,,,,,6.9,263,1016.2,51.3,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-04T21:00:00,50,50,37.4,61.78,0,0,,,,,4.7,260,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T22:00:00,50.2,50.2,38.6,64.44,0,0,,,,,1.5,205,1011.6,8.2,6.2,0,,0,,Clear,clear-night,"60371099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-04T23:00:00,46.4,45.3,35.6,65.85,0,0,,,,,3.4,260,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T00:00:00,45.4,43.7,38.1,75.56,0,0,,,,,3.8,244,1017.4,29.2,6.4,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-05T01:00:00,53.1,53.1,38,56.31,0,0,,,,,3.5,223,1010.8,59.2,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-05T02:00:00,42.8,42.8,35.6,75.52,0,0,,,,,2.2,229.8,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T03:00:00,44.6,43.2,35.6,70.5,0,0,,,,,3.4,240,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T04:00:00,49.7,49.7,33.6,53.6,0,0,,,,,2.9,205,1010.3,13.6,6.2,0,,0,,Clear,clear-night,"60371099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-05T05:00:00,42.8,39.2,33.8,70.3,0,0,,,,,5.8,290,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T06:00:00,42.8,40,33.8,70.3,0,0,,,,,4.7,280,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T07:00:00,51.3,51.3,38.6,61.68,0,0,,,0.39,,4.8,319,1010.6,77.9,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,60415099999,60437099999,60369099999,DAAG"
